Job Title,Company,Location (IL),Required Degree,Required Experience (years),Job URL,Date Retrieved
AI Engineer / Senior Data Scientist,Bitsight,"Tel Aviv-Yafo, Tel Aviv District",Master's,4,https://il.linkedin.com/jobs/view/ai-engineer-senior-data-scientist-at-bitsight-4346642812,2026-01-04 13:46:42
Senior Data Scientist - LLM Agents (Cortex),Palo Alto Networks,"Tel Aviv-Yafo, Tel Aviv District",Not Specified,4,https://il.linkedin.com/jobs/view/senior-data-scientist-llm-agents-cortex-at-palo-alto-networks-4346801609,2026-01-04 13:46:42
Data Scientist - Risk Automation,PayPal,"Tel Aviv-Yafo, Tel Aviv District",Not Specified,Not Specified,https://il.linkedin.com/jobs/view/data-scientist-risk-automation-at-paypal-4214781093,2026-01-04 13:46:42
Data Scientist,Fido,Israel,Master's,3,https://il.linkedin.com/jobs/view/data-scientist-at-fido-4350736634,2026-01-04 13:46:42
Data Scientist,Nuvei,"Tel Aviv-Yafo, Tel Aviv District",Bachelor's,5,https://il.linkedin.com/jobs/view/data-scientist-at-nuvei-4354352528,2026-01-04 13:46:42
"Data Scientist, Product Analytics",Meta,"Tel Aviv-Yafo, Tel Aviv District",Bachelor's,2,https://il.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4350285297,2026-01-04 13:46:42
Data Scientist,Vi,"Tel Aviv-Yafo, Tel Aviv District",Master's,3,https://il.linkedin.com/jobs/view/data-scientist-at-vi-4343655767,2026-01-04 13:46:42
Data Scientist,abra,Center District,Bachelor's,3,https://il.linkedin.com/jobs/view/data-scientist-at-abra-4327598998,2026-01-04 16:30:27
Data Scientist,abra,Center District,Bachelor's,5,https://il.linkedin.com/jobs/view/data-scientist-at-abra-4327790947,2026-01-05 12:17:24
"Data Scientist, Product Analytics",Meta,"Tel Aviv-Yafo, Tel Aviv District",Bachelor's,4,https://il.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4350175483,2026-01-06 13:40:38
AI Research Intern,Cisco,"Tel Aviv-Yafo, Tel Aviv District",Master's,Not Specified,https://il.linkedin.com/jobs/view/ai-research-intern-at-cisco-4343592636,2026-01-07 13:40:37
Data Scientist,Amdocs,Israel,Bachelor's,Not Specified,https://il.linkedin.com/jobs/view/data-scientist-at-amdocs-4344116293,2026-01-07 13:40:37
